Path,Model Size,D_model,Vocab Size,Epoch,BLEU Score
en_fr_large_d512_v32k_20250611_060906,large,512,32000,2,1.7326126568703382
en_fr_large_d512_v16k_20250611_060906,large,512,16000,2,1.5859091649351544
en_fr_large_d512_v8k_20250611_060906,large,512,8000,2,1.471155526859902
en_fr_medium_d256_v32k_20250611_060906,medium,256,32000,2,1.216206085422054
en_fr_medium_d256_v8k_20250611_060906,medium,256,8000,2,1.1279875468312506
en_fr_medium_d256_v16k_20250611_060906,medium,256,16000,2,0.8778232981272759
en_fr_small_d128_v16k_20250611_060906,small,128,16000,2,0.6057219863379827
en_fr_small_d128_v8k_20250611_060906,small,128,8000,2,0.5392388129305575
en_fr_small_d128_v32k_20250611_060906,small,128,32000,2,0.38497074279793414
